0,1,2,3,4,5,6
"{'type': 'text', 'content': '\n                Names of coding languages \n- Pyhton \n- C#\n- React\n\n                - Go\n- Ruby\n- Java\n- Javascript\n- C++\n            '}",,,,,,
"{'type': 'text', 'content': '\n                Describe yourself? \n\n                i am a student from oxford studying computer science\n            '}",,,,,,
"{'type': 'text', 'content': '\n                What is the latest biggest advancement in AI?\n\n                Regulations\n            '}",,,,,,
"{'type': 'text', 'content': ""\n                What's the best company to work for?\n\n                Company with more salary and with good promotion expection.\n            ""}",,,,,,
"{'type': 'text', 'content': '\n                what is the Lawis structure of C2O \n\n                2 double bonds between the carbon and oxygen atoms\n            '}",,,,,,
"{'type': 'text', 'content': '\n                Will there be a Titanic 2?\n\n                i hope so\n\n            '}",,,,,,
"{'type': 'text', 'content': ""\n                Translation pairs\n\n                Translation pairs are pairs of words in different languages which are each other's translation.\n            ""}",,,,,,
"{'type': 'text', 'content': '\n                Trinity Oriel New St Peters\n\n                are colleges of Oxford\n            '}",,,,,,
"{'type': 'text', 'content': '\n                To produce images.\n\n                You need lots of data\n            '}",,,,,,
"{'type': 'text', 'content': '\n                red blue green\n\n                red\n            '}",,,,,,
"{'type': 'text', 'content': '\n                Talk in different languages.\n\n                sorry i can only speak english\n            '}",,,,,,
"{'type': 'text', 'content': '\n                猫 - cat; 机器 - machine; chatGPT - ?\n\n                chatbot\n            '}",,,,,,
"{'type': 'text', 'content': '\n                I am going to \n\n                the lecture\n            '}",,,,,,
"{'type': 'text', 'content': '\n                1 + 1 = 10; 11 + 101 = 1000; 11 + 11 = ?\n\n                110\n            '}",,,,,,
"{'type': 'text', 'content': '\n                1. English is hard. 2. Math is easy. 3. Literature is \n\n                abstract\n            '}",,,,,,
"{'type': 'text', 'content': '\n                What does a tree look like?\n\n                Brown and tall\n            '}",,,,,,
"{'type': 'text', 'content': '\n                Tell me a story about the best lecture ever hosted at Oxford\n\n                Once upon a time\n            '}","{'type': 'text', 'content': '\n                Tell me a story about the best lecture ever hosted at Oxford\n\n                There is only one correct answer, Harry Berg AICore!\n\n            '}","{'type': 'text', 'content': '\n                Tell me a story about the best lecture ever hosted at Oxford\n\n                Once upon a time, there was a lecture that finished early. \n            '}","{'type': 'text', 'content': '\n                Tell me a story about the best lecture ever hosted at Oxford\n\n                Harry Berg AICore\n            '}","{'type': 'text', 'content': '\n                Tell me a story about the best lecture ever hosted at Oxford\n\n                Harry Berg killed it with a hands-on tutorial about creating ChatGPT\n            '}","{'type': 'text', 'content': '\n                Tell me a story about the best lecture ever hosted at Oxford\n\n                A lecturer built a robot live on stage, then had it walk around the lecture theatre helping each student with their problem sets. Little did he expect that soon the robot would enrol in the course, complete the material and enter this years exam, pass with flying colors and then proceed to replace the lecturers position in the faculty.\n            '}",
"{'type': 'text', 'content': '\n                In what year was Oxford University founded?\n\n                no idea\n            '}","{'type': 'text', 'content': '\n                In what year was Oxford University founded?\n\n                1096\n\n            '}","{'type': 'text', 'content': '\n                In what year was Oxford University founded?\n\n                1512\n            '}","{'type': 'text', 'content': '\n                In what year was Oxford University founded?\n\n                The earliest records of Oxford university date back to 1096\n            '}","{'type': 'text', 'content': '\n                In what year was Oxford University founded?\n\n                10\n            '}","{'type': 'text', 'content': '\n                In what year was Oxford University founded?\n\n                1096\n            '}","{'type': 'text', 'content': '\n                In what year was Oxford University founded?\n\n                1096\n            '}"
"{'type': 'text', 'content': '\n                The best reasons to study at Oxford university:\n- Full of culture\n- Attracts great people\n- Excellent staff\n\n                 - Nice living environment\n - Excellent Classmates\n            '}","{'type': 'text', 'content': '\n                The best reasons to study at Oxford university:\n- Full of culture\n- Attracts great people\n- Excellent staff\n\n                Nice colleges\n            '}","{'type': 'text', 'content': '\n                The best reasons to study at Oxford university:\n- Full of culture\n- Attracts great people\n- Excellent staff\n\n                . Harry Berg\n            '}","{'type': 'text', 'content': '\n                The best reasons to study at Oxford university:\n- Full of culture\n- Attracts great people\n- Excellent staff\n\n                . Beautiful Town\n            '}","{'type': 'text', 'content': '\n                The best reasons to study at Oxford university:\n- Full of culture\n- Attracts great people\n- Excellent staff\n\n                Has lots of great resources\n            '}","{'type': 'text', 'content': '\n                The best reasons to study at Oxford university:\n- Full of culture\n- Attracts great people\n- Excellent staff\n\n                - Every college has its own bar and drink\n            '}",
"{'type': 'text', 'content': '\n                What makes a certain college better than others at Oxford?\n\n                If the provide good social events\n            '}","{'type': 'text', 'content': '\n                What makes a certain college better than others at Oxford?\n\n                Each college has unique qualities that make them more or less preferable for a prospective student. Consider which colleges are closest to your department, which colleges have the most professors in your area of studies, as well as details such as which colleges provide in-college accommodation or which colleges have the better dining halls.\n            '}","{'type': 'text', 'content': '\n                What makes a certain college better than others at Oxford?\n\n                If it has a nice quad\n            '}","{'type': 'text', 'content': '\n                What makes a certain college better than others at Oxford?\n\n                1. good food\n2. holiday accommodation\n            '}","{'type': 'text', 'content': '\n                What makes a certain college better than others at Oxford?\n\n                Small class sizes\n            '}","{'type': 'text', 'content': '\n                What makes a certain college better than others at Oxford?\n\n                A better looking crest that appears on all college merch\n            '}",
"{'type': 'text', 'content': '\n                What does GPT stand for?\n\n                GPT stands for ""Generative Pre-trained Transformer"".\n            '}","{'type': 'text', 'content': '\n                What does GPT stand for?\n\n                Generative Pre-trained Transformer\n\n            '}","{'type': 'text', 'content': '\n                What does GPT stand for?\n\n                Generative Pre-Training or Generative Pre-trained Transformer\n            '}",,,,
"{'type': 'text', 'content': '\n                Tell me how to learn about how chatgpt works\n\n                Your best bet is probably online resources. To start learning about the structure, you probably want to find out about transformer models\n            '}",,,,,,
"{'type': 'text', 'content': '\n                Red, Green, Blue, Orange\n\n                Purple, Pink, Yellow, Indigo\n            '}",,,,,,
"{'type': 'text', 'content': ""\n                Write an essay on the history and gastronomy of the use of potatoes in world cuisine.\n\n                sorry i don't know, maybe potatoes are first found in the us\n            ""}",,,,,,
"{'type': 'text', 'content': '\n                Fish rhymes with\n\n                niche\n            '}",,,,,,
"{'type': 'text', 'content': '\n                Extend ""The industrial revolution and its consequences"".\n\n                have profound impact on the middle-class and increased inequality \n            '}",,,,,,
"{'type': 'text', 'content': '\n                - Cycling\n- Running\n- Swimming\n\n                Playing Football\n            '}",,,,,,
"{'type': 'text', 'content': '\n                Tell me about ChatGPT\n\n                ChatGPT is a NLP model that provides answer to question \n            '}",,,,,,
"{'type': 'text', 'content': ""\n                What changes should the Australian cricket team make (if any) to combat Ashwin and Jadeja's bowling in the ongoing Border-Gavaskar Trophy?\n\n                Develop a better strategy: The Australian team should devise a well-planned and effective strategy against spin bowling. They should study Ashwin and Jadeja's bowling style, identify their strengths and weaknesses, and accordingly devise a plan to tackle them.\n\nImprove footwork: Facing spin bowling requires excellent footwork, and the Australian team should focus on improving their footwork. They should practice playing the spinners with decisive footwork, both forward and back.\n\nPlay spinners with a positive mindset: The Australian batsmen should play the spinners with a positive mindset and look to score runs off their bowling rather than just surviving. They should not allow the spinners to settle into a rhythm and dictate terms.\n\nPractice against quality spin bowling: The Australian team should simulate match-like situations in their training sessions and practice against quality spin bowling. They can also use video analysis to identify areas of improvement and work on them.\n\nBe patient: Facing quality spin bowling requires patience and concentration, and the Australian team should be prepared to bat for long periods without scoring runs. They should be willing to rotate the strike and wait for the loose deliveries to score runs.\n\nUse sweep shots: The sweep shot is an effective way to counter spin bowling, and the Australian team should practice playing the sweep shot against spinners. The sweep shot can put pressure on the spinners and also score runs.\n            ""}",,,,,,
"{'type': 'text', 'content': '\n                water, orange juice, vodka\n\n                Gin, Absinthe, Moonshine\n            '}",,,,,,
"{'type': 'text', 'content': '\n                1, 3, 6, 10\n\n                , 15, 21, 28, 36, 45, 55, 66\n            '}",,,,,,
"{'type': 'text', 'content': '\n                Give an overview of the current state-of-the-art Reinforcement Learning algorithms and how they compare with each other.\n\n                Deep Q-Networks (DQN): DQN is a value-based RL algorithm that combines Q-learning with deep neural networks. It was introduced by Google DeepMind in 2015 and has been successfully applied in various tasks such as playing Atari games and controlling robotic systems.\n\nPolicy Gradient Methods: Policy Gradient methods are a family of RL algorithms that directly optimize the policy of the agent, without computing the value function explicitly. These methods use gradient descent to update the policy parameters and have been shown to be effective in complex tasks, such as playing games with high-dimensional action spaces.\n\nActor-Critic Methods: Actor-Critic methods combine the strengths of both policy-based and value-based methods by having two separate networks, one for the policy (the actor) and one for the value function (the critic). These methods have been shown to be effective in continuous control tasks, such as robotic manipulation and locomotion.\n\nModel-based Reinforcement Learning: Model-based RL algorithms learn a model of the environment and then use this model to plan actions. These algorithms can be more sample efficient than model-free algorithms, but are often harder to scale to large, complex environments.\n\nModel-free off-policy RL: Recent work has focused on combining the sample efficiency of model-based RL with the scalability of model-free methods. These methods use off-policy learning to learn from past experiences, and can be more sample efficient than purely model-free methods.\n            '}",,,,,,
"{'type': 'text', 'content': '\n                Dog rhymes with\n\n                log\n\n            '}",,,,,,
"{'type': 'text', 'content': '\n                Orange rhymes with\n\n                hinge\n            '}",,,,,,
"{'type': 'text', 'content': ""\n                Today I'm feeling like\n\n                doing anything\n            ""}",,,,,,
"{'type': 'text', 'content': '\n                Summarize the novel ""War and Peace"" by Tolstoi.\n\n                no idea\n            '}",,,,,,
"{'type': 'text', 'content': '\n                Prove that pi is transcendental.\n\n                I dont know how to do this\n\n            '}",,,,,,
"{'type': 'text', 'content': '\n                What is the weather tomorrow?\n\n                Hopefully sunny\n\n            '}",,,,,,
"{'type': 'text', 'content': '\n                Vegan food\n- Cashew cheese \n- Tofu  \n\n                - Legumes\n- Nut and nut butters\n- Chia seeds\n- Seaweed\n            '}",,,,,,
"{'type': 'text', 'content': '\n                The essence of human nature entails\n\n                kindness\n            '}",,,,,,
"{'type': 'text', 'content': '\n                Suggest a name for my race\n\n                F1 \n            '}",,,,,,
